,content,sentiment,Proc_Tweet
0,when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,-1.0,mode promise minimum government maximum governance expect begin difficult job reform state take year get justice state business exit pu temple
1,talk all the nonsense and continue all the drama will vote for modi ,0.0,talk nonsense continue drama vote mode
2,what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,1.0,say vote mode welcome tell paul main campaigner mode think mode relax
3,asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,1.0,ask supporter prefix chowkidar name mode great service confusion read crystal clear crass filthy nonsensical see abuse come chowkidars
4,answer who among these the most powerful world leader today trump putin modi may ,1.0,answer among powerful world leader today tramp put mode may
5,kiya tho refresh maarkefir comment karo ,0.0,king refresh maarkefir comment karp
6,"surat women perform yagna seeks divine grace for narendra modi become again
",0.0,murat woman perform magna seek divine grace narendra mode become
7,this comes from cabinet which has scholars like modi smriti and hema time introspect,0.0,come cabinet scholar like mode smith hemp time introspect
8,with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,1.0,come election india sage go important pair look current mode lead get elect deal breast combination weekly look juice bear
9,gandhi was gay does modi  ,1.0,gandhi gay mode
10,things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,1.0,thing like demonetization get good service taste upper case would sort either view favourably say need give time case like habit muslin mode constituency
11,hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,1.0,hope tuthukudi people would prefer honest well behaved nationalist courageous likely minister mode cabinet vote benefit thuthukudi
12,calm waters wheres the modi wave ,1.0,calm water mode wave
13,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign ,0.0,one vote make difference nail poor answer mode election 2019 clarion call extend support vote war campaign
14,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,0.0,one vote make difference nail poor answer mode election 2019 clarion call extend support campaign
15,vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party ,-1.0,vote party leadershipwho take fast firm action none narendra damodardas mode party
16,vote modi who has not created jobs,0.0,vote mode create job
